a,b,beta,k,m,l,N,p_0,q,Adv_strategy,rateRandomness,deltaWS,gammaWS,maxTermRound,Type,X,Y
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.020000000,0.000000000,100,MeanTerminationRound,,100.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.010000000,0.000000000,100,MeanTerminationRound,,100.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.000000000,0.000000000,100,MeanTerminationRound,,100.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.030000000,0.000000000,100,MeanTerminationRound,,99.170000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.040000000,0.000000000,100,MeanTerminationRound,,97.570000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.050000000,0.000000000,100,MeanTerminationRound,,86.690000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.060000000,0.000000000,100,MeanTerminationRound,,89.820000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.070000000,0.000000000,100,MeanTerminationRound,,71.640000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.080000000,0.000000000,100,MeanTerminationRound,,68.980000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.090000000,0.000000000,100,MeanTerminationRound,,58.490000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.100000000,0.000000000,100,MeanTerminationRound,,61.250000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.110000000,0.000000000,100,MeanTerminationRound,,52.030000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.120000000,0.000000000,100,MeanTerminationRound,,49.460000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.130000000,0.000000000,100,MeanTerminationRound,,40.330000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.140000000,0.000000000,100,MeanTerminationRound,,51.210000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.150000000,0.000000000,100,MeanTerminationRound,,39.670000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.160000000,0.000000000,100,MeanTerminationRound,,41.430000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.170000000,0.000000000,100,MeanTerminationRound,,35.050000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.180000000,0.000000000,100,MeanTerminationRound,,30.760000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.190000000,0.000000000,100,MeanTerminationRound,,35.040000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.200000000,0.000000000,100,MeanTerminationRound,,29.690000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.210000000,0.000000000,100,MeanTerminationRound,,27.170000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.220000000,0.000000000,100,MeanTerminationRound,,28.650000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.230000000,0.000000000,100,MeanTerminationRound,,22.520000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.240000000,0.000000000,100,MeanTerminationRound,,27.780000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.250000000,0.000000000,100,MeanTerminationRound,,21.580000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.260000000,0.000000000,100,MeanTerminationRound,,21.600000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.270000000,0.000000000,100,MeanTerminationRound,,23.300000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.280000000,0.000000000,100,MeanTerminationRound,,18.850000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.290000000,0.000000000,100,MeanTerminationRound,,17.940000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.300000000,0.000000000,100,MeanTerminationRound,,18.040000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.320000000,0.000000000,100,MeanTerminationRound,,18.880000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.340000000,0.000000000,100,MeanTerminationRound,,15.330000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.360000000,0.000000000,100,MeanTerminationRound,,13.460000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.380000000,0.000000000,100,MeanTerminationRound,,15.360000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.400000000,0.000000000,100,MeanTerminationRound,,11.690000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.420000000,0.000000000,100,MeanTerminationRound,,13.550000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.440000000,0.000000000,100,MeanTerminationRound,,13.440000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.460000000,0.000000000,100,MeanTerminationRound,,11.720000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.480000000,0.000000000,100,MeanTerminationRound,,11.730000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.500000000,0.000000000,100,MeanTerminationRound,,12.330000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.500000000,0.000000000,100,MeanTerminationRound,,12.400000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.520000000,0.000000000,100,MeanTerminationRound,,11.710000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.540000000,0.000000000,100,MeanTerminationRound,,11.440000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.560000000,0.000000000,100,MeanTerminationRound,,11.550000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.580000000,0.000000000,100,MeanTerminationRound,,11.500000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.600000000,0.000000000,100,MeanTerminationRound,,11.420000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.620000000,0.000000000,100,MeanTerminationRound,,11.570000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.640000000,0.000000000,100,MeanTerminationRound,,12.300000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.660000000,0.000000000,100,MeanTerminationRound,,11.510000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.680000000,0.000000000,100,MeanTerminationRound,,11.400000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.700000000,0.000000000,100,MeanTerminationRound,,11.350000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.720000000,0.000000000,100,MeanTerminationRound,,11.400000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.740000000,0.000000000,100,MeanTerminationRound,,11.430000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.760000000,0.000000000,100,MeanTerminationRound,,11.480000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.780000000,0.000000000,100,MeanTerminationRound,,11.460000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.800000000,0.000000000,100,MeanTerminationRound,,11.310000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.820000000,0.000000000,100,MeanTerminationRound,,11.510000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.840000000,0.000000000,100,MeanTerminationRound,,11.460000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.860000000,0.000000000,100,MeanTerminationRound,,11.440000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.880000000,0.000000000,100,MeanTerminationRound,,11.460000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.900000000,0.000000000,100,MeanTerminationRound,,11.530000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.920000000,0.000000000,100,MeanTerminationRound,,11.470000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.940000000,0.000000000,100,MeanTerminationRound,,11.500000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.960000000,0.000000000,100,MeanTerminationRound,,11.430000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.980000000,0.000000000,100,MeanTerminationRound,,11.340000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,1.000000000,0.000000000,100,MeanTerminationRound,,11.460000000
