a,b,beta,k,m,l,N,p_0,q,Adv_strategy,rateRandomness,deltaWS,gammaWS,maxTermRound,Type,X,Y
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.020000000,0.000000000,100,MeanLastRound,,14.844877778
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.010000000,0.000000000,100,MeanLastRound,,15.784366667
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.000000000,0.000000000,100,MeanLastRound,,35.582522222
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.030000000,0.000000000,100,MeanLastRound,,14.384211111
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.040000000,0.000000000,100,MeanLastRound,,13.787477778
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.050000000,0.000000000,100,MeanLastRound,,12.942344444
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.060000000,0.000000000,100,MeanLastRound,,13.152088889
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.070000000,0.000000000,100,MeanLastRound,,12.876377778
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.080000000,0.000000000,100,MeanLastRound,,12.635622222
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.090000000,0.000000000,100,MeanLastRound,,12.311922222
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.100000000,0.000000000,100,MeanLastRound,,12.501788889
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.110000000,0.000000000,100,MeanLastRound,,12.192855556
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.120000000,0.000000000,100,MeanLastRound,,12.353600000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.130000000,0.000000000,100,MeanLastRound,,11.564088889
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.140000000,0.000000000,100,MeanLastRound,,12.534633333
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.150000000,0.000000000,100,MeanLastRound,,11.541144444
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.160000000,0.000000000,100,MeanLastRound,,11.768422222
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.170000000,0.000000000,100,MeanLastRound,,11.634588889
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.180000000,0.000000000,100,MeanLastRound,,11.460111111
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.190000000,0.000000000,100,MeanLastRound,,11.886955556
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.200000000,0.000000000,100,MeanLastRound,,11.468455556
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.210000000,0.000000000,100,MeanLastRound,,11.482544444
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.220000000,0.000000000,100,MeanLastRound,,11.559011111
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.230000000,0.000000000,100,MeanLastRound,,11.087633333
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.240000000,0.000000000,100,MeanLastRound,,11.743088889
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.250000000,0.000000000,100,MeanLastRound,,11.168311111
