a,b,beta,k,m,l,N,p_0,q,Adv_strategy,rateRandomness,deltaWS,gammaWS,maxTermRound,Type,X,Y
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.020000000,0.000000000,100,MedianTerminationRound,,100.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.010000000,0.000000000,100,MedianTerminationRound,,100.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.000000000,0.000000000,100,MedianTerminationRound,,100.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.040000000,0.000000000,100,MedianTerminationRound,,100.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.030000000,0.000000000,100,MedianTerminationRound,,100.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.050000000,0.000000000,100,MedianTerminationRound,,100.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.070000000,0.000000000,100,MedianTerminationRound,,13.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.060000000,0.000000000,100,MedianTerminationRound,,100.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.080000000,0.000000000,100,MedianTerminationRound,,19.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.100000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.090000000,0.000000000,100,MedianTerminationRound,,100.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.110000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.120000000,0.000000000,100,MedianTerminationRound,,14.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.130000000,0.000000000,100,MedianTerminationRound,,20.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.140000000,0.000000000,100,MedianTerminationRound,,13.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.160000000,0.000000000,100,MedianTerminationRound,,13.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.150000000,0.000000000,100,MedianTerminationRound,,100.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.170000000,0.000000000,100,MedianTerminationRound,,13.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.180000000,0.000000000,100,MedianTerminationRound,,100.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.190000000,0.000000000,100,MedianTerminationRound,,100.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.200000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.210000000,0.000000000,100,MedianTerminationRound,,30.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.220000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.230000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.240000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.250000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.260000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.270000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.280000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.290000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.300000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.320000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.340000000,0.000000000,100,MedianTerminationRound,,15.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.360000000,0.000000000,100,MedianTerminationRound,,13.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.380000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.400000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.420000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.440000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.460000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.480000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.500000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.500000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.520000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.540000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.560000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.580000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.600000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.620000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.640000000,0.000000000,100,MedianTerminationRound,,13.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.660000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.680000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.700000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.720000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.740000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.760000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.780000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.800000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.820000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.840000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.860000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.880000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.900000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.920000000,0.000000000,100,MedianTerminationRound,,11.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.940000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.960000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,0.980000000,0.000000000,100,MedianTerminationRound,,12.000000000
0.666000000,0.000000000,0.300000000,51,0,10,1000,0.800000000,0.100000000,2,1.000000000,1.000000000,0.000000000,100,MedianTerminationRound,,11.000000000
